external_urls,followers,genres,id,name,popularity,uri,collaborations_ids,collaborations
https://open.spotify.com/artist/66ihevNkSYNzRAl44dx6jJ,12479376,"corrido, musica mexicana, sad sierreno, sierreno",66ihevNkSYNzRAl44dx6jJ,Carin Leon,86,spotify:artist:66ihevNkSYNzRAl44dx6jJ,"5M9Bb4adKAgrOFOhc05Y50, 7sQ3Q6yYyg0SdpEezJN8UT, 11mqrDSFRRz8g0Wb3syJj5, 4stSxe6AbpXw3x7nRDsYVX, 03Yb3iBy9GCifXiATEFcit, 0my6Pg4I28dVcZLSpAkqhv, 5dmU7FrmtbQaSzIvGsE4Jp, 2C6i0I5RiGzDKN9IAF8reh, 3abT87tqQ4Q5PA5nw6CYyH, 3qnGvpP8Yth1AqSBMqON5x, 3oSJ7TBVCWMDMiYjXNiCKE, 28gNT5KBp7IjEOQoevXf9N, 4kJ2OBSNasUA4yOT5NCfCl","'Pablo Alborán', 'Manuel Ortega', 'Braulio Mata', 'Manuel El Indio Ortega', 'Bolela', 'Kanales', 'Mario ""El Cachorro"" Delgado', 'El Coyote Y Su Banda Tierra Santa', 'Martin Ramos', 'Panteon Rococo', 'Banda Corona del Rey', 'Remmy Valenzuela', 'Chicho Castro y Sus Alia2', 'Pepe Aguilar', 'El Mimoso Luis Antonio López', 'Kompa Oso', 'Los Honorables', 'Chuy Lizarraga y Su Banda Tierra Sinaloense', 'El Fantasma', 'Jorge Medina', 'Pancho Barraza', 'Pelé', 'Nivel C', 'Beto Guzmán', 'Los Hijos De Frank', 'Jovanny Cadena Y Su Estilo Privado', 'Nanan Ortiz', 'Grupo Alfa', 'Grupo Yndio', 'Roy Rosas', 'Banda MS de Sergio Lizárraga', 'Julio Barraza', 'Alex Ramirez Y Su Grupo Profetas', 'Don Zares', 'Judas Ramos', 'Los Tepokas', 'Joel Elizalde', 'Luis Mexia', 'Hijos De Barron', 'JJ Araujo', 'Kakalo', 'Ángela Aguilar', 'El Bebeto', 'Los Apson', 'Leon Bridges', 'Mariano Barba', 'Fabian Gomez', 'Kane Brown', 'Hernan Sepulveda', 'Oscar Toscano ""El Boca Aguada""', 'Honorables', 'Larry Hernández', 'Camilo', 'Luis Angel ""El Flaco""'"
https://open.spotify.com/artist/5OWksQm7ONWIGZqMXovSli,21970,,5OWksQm7ONWIGZqMXovSli,Calmly,81,spotify:artist:5OWksQm7ONWIGZqMXovSli,,
https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,21134096,"alternative rock, funk metal, funk rock, permanent wave, rock",0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,83,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,,
https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,49334976,"reggaeton, reggaeton colombiano, trap latino, urbano latino",790FomKkXshlbRYZFtlgla,KAROL G,91,spotify:artist:790FomKkXshlbRYZFtlgla,"0hCNtLu0JehylgoiP8L4Gh, 12GqGscKJx3aE4t07u7eVZ, 1U1el3k54VvEUzo3ybLPlM, 3Wb38LDP3N4tkobValgE9D, 1r4hJ1h58CWwUQe3MxPuau, 0EmeFodog0BfCgMzAIvKQp, 1Yj5Xey7kTwvZla8sqdsdE, 4q3ewBCX7sLwd24euuV69X, 77ziqFxp5gaInVrF2lj4ht, 1wZtkThiXbVNtj6hee6dz9, 3QJzdZJYIAcoET1GcfpNGi, 0eHQ9o50hj6ZDNBt6Ys1sD, 3VHAySZQPlfGlNLslzXYpN, 1i8SpTcr7yvPOmcqrbnVXY, 2R21vXR83lH98kGeO99Y66, 2YRyPiW98bpkARAS4B3OQP, 0VRj0yCOv2FXJNP47XQnx5, 1GKIlPFdcewHtpDVCQ8zmJ, 1pgDilWYDWLoOgGjf1iHNu, 52iwsT98xCoGgiGntTiR7K, 3qsKSpcV3ncke3hw52JSMB, 0XK6kT7xcZAlcYrNjOgzJe, 3m5qlPf2OkihLz3dRYnkPA, 5lwmRuXgjX8xIwlnauTZIP, 00me4Ke1LsvMxt5kydlMyU, 1vyhD5VmyZ7KMfW5gqLgo5, 14zUHaJZo1mnYtn6IBRaRP, 1RBzGO6Nm3uyhUSxP7EDWO, 3Isy6kedDrgPYoTS1dazA9, 3ipn9JLAPI5GUEo4y4jcoi, 1SupJlEpv7RS2tPNRaHViT, 28gNT5KBp7IjEOQoevXf9N, 2o5jDhtHVPhrJdv3cEQ99Z, 4F4pp8NUW08JuXwnoxglpN, 7j6DKwmjbxvpQO8h914uEz","'Alberto Stylee', 'Nicki Minaj', 'Danay Suárez', 'Peso Pluma', 'Ivy Queen', 'Kali Uchis', 'Juanka', 'Maluma', 'Angel Dior', 'Maldy', 'Emilee', 'Shakira', 'Cris Mj', 'Bad Bunny', 'Sech', 'Wisin & Yandel', 'Damian Marley', 'Yandel', 'NATHY PELUSO', 'Ozuna', 'Anuel AA', 'Dei V', 'Simone & Simaria', 'Quavo', 'Brray', 'Zion', 'Quevedo', 'Young Miko', 'Carla Morrison', 'Ovy On The Drums', 'Romeo Santos', 'Mariah Angeliq', 'Cosculluela', 'J Balvin', 'Justin Quiles', 'KEVIN ROLDAN', 'Yandar & Yostin', 'Sean Paul', 'Ludacris', 'Nicky Jam', 'Camilo', 'Tiësto', 'Bad Gyal', 'Ryan Castro'"
https://open.spotify.com/artist/3IYUhFvPQItj6xySrBmZkd,6830149,"album rock, classic rock, country rock, mellow gold, rock, southern rock, swamp rock",3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,82,spotify:artist:3IYUhFvPQItj6xySrBmZkd,,"""Booker T. & the M.G.'s"""
https://open.spotify.com/artist/5H4yInM5zmHqpKIoMNAx4r,6274263,"melodic drill, r&drill",5H4yInM5zmHqpKIoMNAx4r,Central Cee,83,spotify:artist:5H4yInM5zmHqpKIoMNAx4r,"4az97MtWmBQ5Db3GfDh9j9, 22dFwJoRBV51ue5TGnC7Dt, 3LvwPiJQJ0da0GurKMToV0","'Rondodasosa', 'Lil Bro', 'Freeze corleone', 'Morad', 'ASHE 22', 'Beny Jr', 'Baby Gang', 'A2 Anti'"
https://open.spotify.com/artist/1Yj5Xey7kTwvZla8sqdsdE,3369265,"mambo chileno, trap latino, urbano chileno, urbano latino",1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,87,spotify:artist:1Yj5Xey7kTwvZla8sqdsdE,"4CQdcx66F116k2db2Y0rjE, 2YRyPiW98bpkARAS4B3OQP, 2XcZshqzPKm3iZcmt73R8D, 5Y3MV9DZ0d87NnVm56qSY1, 5lFhCi03HDneWzvCxGctrT, 1TA5sGRlKUJXBN4ZyJuDIX, 3Wb38LDP3N4tkobValgE9D, 4axKuDPr6WKcDCyh8vueTY, 6TKygPpVT29oGUogu4J9Ec","'Hades66', 'Magicenelbeat', 'Dei V', 'Pablo Chill-E', 'Tiago PZK', 'Jory Boy', 'Fran C', 'Ak4:20', 'Blessd', 'Juanka', 'Luar La L', 'Yan Block'"
https://open.spotify.com/artist/6zLBxLdl60ekBLpawtT63I,1400223,"classic texas country, contemporary country, modern country pop",6zLBxLdl60ekBLpawtT63I,Cody Johnson,75,spotify:artist:6zLBxLdl60ekBLpawtT63I,"5W5bDNCqJ1jbCgTxDD0Cb3, 19k8AgwwTSxeaxkOuCQEJs, 0XKOBt59crntr7HQXXO8Yz","'Willie Nelson', 'Jelly Roll', 'Corb Lund', 'Cori Johnson', 'Dale Brisby', 'Carl Johnson', 'Red Steagall', 'Brandi Johnson', 'Clara Johnson', 'Kevin Fowler', 'Roger Creager', 'Sheila Johnson', ""The Rockin' CJB"", 'Ned LeDoux', 'Brooks & Dunn'"
https://open.spotify.com/artist/26T3LtbuGT1Fu9m0eRq5X3,3809691,"modern alternative rock, modern rock, pov: indie, punk blues, rock",26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,75,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,3vbKDsSS70ZX9D2OcvbZmS,"'Beck', 'Alison Mosshart'"
https://open.spotify.com/artist/1anyVhU62p31KFi8MEzkbf,6014999,"chicago rap, conscious hip hop, hip hop, pop rap, rap, trap",1anyVhU62p31KFi8MEzkbf,Chance the Rapper,73,spotify:artist:1anyVhU62p31KFi8MEzkbf,"0hCNtLu0JehylgoiP8L4Gh, 5y2Xq6xcjJb2jVM54GHK3t, 73sIBHcqh3Z3NyqHKZ7FOL, 6vbY3hOaCAhC7VjucswgdS, 3jK9MiCrA42lLAdMGUZpwa, 1uNFoZAHBGtllmzznpCI3s, 5K4W6rqBFWDnAN6FQUkS6x, 6icQOAFXDZKsumw3YXyusw, 1ybINI1qPiFbwDXamRtwxD, 7n2wHs1TKAczGzO7Dd2rGr, 50co4Is1HCEo8bhOyUWKpn, 181bsRPaVXVlUKXrxwZfHK, 3hcs9uc56yIGFCSy9leWe7, 4r63FhuTkUYltbVAg5TQnk, 13y7CgLHjMVRMDqxdx0Xdo, 1RyvyyTE3xzB2ZywiAwp0i, 55Aa2cqylxrFIXC767Z865, 7c0XG5cIJTrrAgEC3ULPiq, 17lzZA2AlOHwCwFALHttmp, 3aQeKQSyrW4qWr35idm0cy, 3KV3p5EY4AvKxOlhGHORLg","'My cousin Nicole', 'Taylor Bennett', 'Nicki Minaj', 'Randy Newman', 'John Legend', 'Noname', 'Eryn Allen Kane', 'Childish Gambino', 'CocoRosie', 'Death Cab for Cutie', 'Kiara Lanier', 'Twista', 'Hannibal Buress', 'Calboy', 'Ab-Soul', 'Alex Wiley', 'Anderson .Paak', 'DIXSON', 'Kirk Franklin', 'Sulaiman', 'Kierra Sheard', 'Justin Bieber', 'Kanye West', 'BJ The Chicago Kid', 'Jamila Woods', 'Lil Yachty', 'Smino', 'Knox Fortune', 'Shawn Mendes', 'SWV', 'Young Thug', 'Nate Fox', 'Towkio', 'Jay Electronica', 'Megan Thee Stallion', ""Chicago Children's Choir"", ""Will For The O'mys"", 'Saba', 'Nico Segal', 'Lil Durk', 'Peter CottonTale', 'En Vogue', 'MadeinTYO', 'Francis and the Lights', 'Ari Lennox', 'DaBaby', 'Pretty Vee', 'JP Floydd For Kids These Days', 'Gucci Mane', 'Future', 'Lil Wayne', 'Lili K', 'Ty Dolla $ign', 'Akenya', '2 Chainz', 'T-Pain', 'Valee', 'Action Bronson', 'Raury', 'Nosaj Thing', 'Jeremih', 'VIC MENSA'"
