external_urls,followers,genres,id,name,popularity,uri,related_artists
https://open.spotify.com/artist/6lcwlkAjBPSKnFBZjjZFJs,2318817,"philly indie, pov: indie, slacker rock",6lcwlkAjBPSKnFBZjjZFJs,Alex G,76,spotify:artist:6lcwlkAjBPSKnFBZjjZFJs,"0bC6e2YtIRLbKx2txHFmEo, 5AyEXCtu3xnnsTGCo4RVZh, 02vrwnrNEeDRV96o9iPSYP, 0pg0Zm8FsGAYy5kdHuBnSo, 0m5FakHKCQdA7UN0PIzMcL, 3XxNRirzbjfLdDli06zMaB, 4aKWmkWAKviFlyvHYPTNQY, 7dIpKWlEeAljA20vFJ82RD, 0Y6dVaC9DZtPNH4591M42W, 1AbJ2cmwK400LSvdvBL5Jc, 5jTtGLk1mGFMY5lQOvJYUj, 5szilpXHcwOqnyKLqGco5j, 2gbT6GPXMis0OAkZbEQCYB, 0U7iI0Dk4Ojvi17nZboNO4"
https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I,8376295,"melodic rap, rap, trap",31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,78,spotify:artist:31W5EY0aAly4Qieq6OFu6I,"21WS9wngs9AqFckK7yYJPM, 6jGMq4yGs7aQzuGsMgVgZR, 6EPlBSH2RSiettczlz7ihV, 46SHBwWsqBkxI7EeeBEQG7, 6AUl0ykLLpvTktob97x9hO, 6AgTAQt8XS6jRWi4sX7w49, 1tG7s7S4sq2eFFW0QZyLbm, 1cNDP5yjU5vjeR8qMf4grg, 3hcs9uc56yIGFCSy9leWe7, 5QdEbQJ3ylBnc3gsIASAT5, 7rkW85dBwwrJtlHRDkJDAC, 7d3WFRME3vBY2cgoP38RDo, 7wlFDEWiM5OoIAt8RSli8b, 6Xgp2XMz1fhVYe7i6yNAax, 1pPmIToKXyGdsCF6LmqLmI, 4Ga1P7PMIsmqEZqhYZQgDo, 6QtgPSJPSzcnn7dPZ4VINp, 14CHVeJGrR5xgUGQFV5BVM, 757aE44tKEUQEqRuT6GnEB"
https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,21673076,"electropop, etherpop, indie poptimism, pop",26VFTg2z8YR0cCuwLzESi2,Halsey,81,spotify:artist:26VFTg2z8YR0cCuwLzESi2,"64M6ah0SkkRsnPGtGiRAbb, 2wUjUUtkb5lvLKcGKsKqsR, 5p7f24Rk5HkUZsaS3BLG5F, 1zNqDE7qDGCsyzJwohVaoX, 1Xylc3o4UrD53lo9CvFvVg, 0ZED1XzwlLHW4ZaG4lOT6m, 0X2BH1fck6amBIoJhDVmmJ, 4nDoRrQiYLoBzwC5BhVJzF, 4NHQUGzhtTLFvgF5SZesLK, 6S2OmqARrzebs0tKUEyXyp, 3WGpXCj9YhhfX11TToZcXP, 5Rl15oVamLq7FbSb0NNBNy, 1l8Fu6IkuTP0U5QetQJ5Xt, 5CCwRZC6euC8Odo6y9X8jr, 3e7awlrlDSwF3iM0WBjGMp, 5ZsFI1h6hIdQRw2ti0hz81, 163tK9Wjr9P9DmM0AVK7lm"
https://open.spotify.com/artist/5lwmRuXgjX8xIwlnauTZIP,21948850,"bachata, latin hip hop, latin pop, urbano latino",5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,83,spotify:artist:5lwmRuXgjX8xIwlnauTZIP,"3MHaV05u0io8fQbZ2XPtlC, 1qto4hHid1P71emI6Fd8xi, 33ScadVnbm2X8kkUqOkC6Z, 1wZtkThiXbVNtj6hee6dz9, 1SupJlEpv7RS2tPNRaHViT, 329e4yvIujISKGKz1BZZbO, 5fJsY7afrbsyzJj9wdzJMh, 1GDbiv3spRmZ1XdM1jQbT7, 3E6xrwgnVfYCrCs0ePERDz, 21451j1KhjAiaYKflxBjr1, 1i8SpTcr7yvPOmcqrbnVXY, 0eHQ9o50hj6ZDNBt6Ys1sD, 0tmwSHipWxN12fsoLcFU3B, 4VMYDCV2IEDYJArk749S6m, 4bw2Am3p9ji3mYsXNXtQcd, 4SsVbpTthjScTS7U2hmr1X, 3LKXWvXFWrkwUzJWxzwVpW"
https://open.spotify.com/artist/1qto4hHid1P71emI6Fd8xi,8452936,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",1qto4hHid1P71emI6Fd8xi,Aventura,80,spotify:artist:1qto4hHid1P71emI6Fd8xi,"3MHaV05u0io8fQbZ2XPtlC, 5lwmRuXgjX8xIwlnauTZIP, 5fJsY7afrbsyzJj9wdzJMh, 1wZtkThiXbVNtj6hee6dz9, 3LKXWvXFWrkwUzJWxzwVpW, 33ScadVnbm2X8kkUqOkC6Z, 1pgDilWYDWLoOgGjf1iHNu, 21451j1KhjAiaYKflxBjr1, 7tU1VKOuxiNZwBZC6RHidA, 3E6xrwgnVfYCrCs0ePERDz, 3SUT1jjM5hzZj9TLfLZGIP, 2gRP1Ezbtj3qrERnd0XasU, 0eHQ9o50hj6ZDNBt6Ys1sD"
https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ,7798940,"atl hip hop, melodic rap, rap, trap",2hlmm7s2ICUX0LVIhVFlZQ,Gunna,86,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ,"4DdkRBBYG6Yk9Ka8tdJ9BW, 50co4Is1HCEo8bhOyUWKpn, 0VRj0yCOv2FXJNP47XQnx5, 4Gso3d4CscCijv0lmajZWs, 5f7VJjfbwm532GiveGC0ZK, 3hcs9uc56yIGFCSy9leWe7, 3EW0kQ1skZiK1NHg3Spt9J, 5yPzzu25VzEk8qrGTLIrE1, 7rkW85dBwwrJtlHRDkJDAC, 46SHBwWsqBkxI7EeeBEQG7, 6icQOAFXDZKsumw3YXyusw, 1pPmIToKXyGdsCF6LmqLmI, 1RyvyyTE3xzB2ZywiAwp0i, 0iEtIxbK0KxaSlF7G42ZOp, 3tJoFztHeIJkJWMrx0td2f, 757aE44tKEUQEqRuT6GnEB, 0RESbWvOMyua0yuyVrztJ5, 4Ga1P7PMIsmqEZqhYZQgDo"
https://open.spotify.com/artist/0z4gvV4rjIZ9wHck67ucSV,4805468,dance pop,0z4gvV4rjIZ9wHck67ucSV,Akon,82,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,"6S0dmVVn4udvppDhZIWxCr, 2gBjLmx6zQnFGQJCAQpRgw, 3aQeKQSyrW4qWr35idm0cy, 6GMYJwaziB4ekv1Y6wCDWS, 4pADjHPWyrlAF0FA7joK2H, 3ipn9JLAPI5GUEo4y4jcoi, 5tKXB9uuebKE34yowVaU3C, 5Y5TRrQiqgUO4S36tzjIRZ, 1J2VVASYAamtQ3Bt8wGgA6, 4OBJLual30L7gRl5UkeRcT, 59wfkuBoNyhDMQGCljbUbA, 5ndkK3dpZLKtBklKjxNQwT, 21E3waRsmPlU7jZsS13rcj, 5EvFsr3kj42KNv97ZEnqij, 6MF9fzBmfXghAz953czmBC, 7sfl4Xt5KmfyDs2T3SVSMK, 3Isy6kedDrgPYoTS1dazA9, 3ScY9CQxNLQei8Umvpx5g6"
https://open.spotify.com/artist/0nmQIMXWTXfhgOBdNzhGOs,8095980,alternative metal,0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,77,spotify:artist:0nmQIMXWTXfhgOBdNzhGOs,"7iWiAD5LLKyiox2grgfmUT, 5t28BP42x2axFnqOOMg3CM, 3TOqt5oJwL9BE2NG9MEwDa, 5BtHciL0e0zOP7prIHn3pP, 2xiIXseIJcq3nG7C8fHeBj, 6B5c4sch27tWHAGdarpPaW, 6gZq1Q6bdOxsUPUG1TaFbF, 05fG473iIaoy82BF1aGhL8, 4RddZ3iHvSpGV4dvATac9X, 70BYFdaZbEKbeauJ670ysI"
https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw,119034998,"filmi, modern bollywood",4YRxDV8wJFPHPTeXepOstw,Arijit Singh,90,spotify:artist:4YRxDV8wJFPHPTeXepOstw,"5f4QpKfy7ptCHwTqspnSJI, 1wRPtKGflJrBx9BmLsSwlU, 4fEkbug6kZzzJ8eYX6Kbbp, 4IKVDbCSBTxBeAsMKjAuTs, 3OLGltG8UPIea8sA4w0yg0, 2oSONSC9zQ4UonDKnLqksx, 2GoeZ0qOTt6kjsWW4eA6LS, 0y59o4v8uw5crbN9M3JiL1, 0oOet2f43PA68X5RxKobEy, 0E02VcvA5p1ndkLdqWD5JB, 1tqysapcCh1lWEAc9dIFpa, 1dVygo6tRFXC8CSWURQJq2, 3eDT9fwXKuHWFvgZaaYC5v, 7uIbLdzzSEqnX0Pkrb56cR, 4W91bbPB2CTSsHwt7eqNl7, 6CXEwIaXYfVJ84biCxqc9k, 0T1CMVkqffHlqEk4BcAph1, 5rQoBDKFnd1n6BkdbgVaRL, 5GnnSrwNCGyfAU4zuIytiS, 1mYsTxnqsietFxj1OgoGbG"
https://open.spotify.com/artist/68KmkJeZGfwe1OUaivBa2L,4169219,"k-pop, k-pop boy group",68KmkJeZGfwe1OUaivBa2L,ATEEZ,74,spotify:artist:68KmkJeZGfwe1OUaivBa2L,0ghlgldX5Dd6720Q3qFyQB
https://open.spotify.com/artist/3jK9MiCrA42lLAdMGUZpwa,2558516,"escape room, hip hop, indie soul, neo soul",3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,78,spotify:artist:3jK9MiCrA42lLAdMGUZpwa,"6PvvGcCY2XtUcSRld1Wilr, 6qgnBH6iDM91ipVXv28OMu, 4frXpPxQQZwbCu3eTGnZEw, 1ybINI1qPiFbwDXamRtwxD, 6aaMZ3fcfLv4tEbmY7bjRM, 68kEuyFKyqrdQQLLsmiatm, 3ycxRkcZ67ALN3GQJ57Vig, 1uiEZYehlNivdK3iQyAbye, 3QTDHixorJelOLxoxcjqGx"
https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j,11201352,"canadian pop, candy pop, dance pop, pop",0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,77,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,"6LqNN22kT3074XbTVUrhzX, 1l7ZsJRRS8wlW3WfJfPfNS, 3BmGtnKgCSGYIUhmivXKWX, 3r17AfJCCUqC9Lf0OAc73G, 26dSoYclwsYLMAKD3tpOr4, 4yiQZ8tQPux8cPriYMWUFP, 0uq5PttqEjj3IH1bzwcrXF, 6wPhSqRtPu1UhRCDX5yaDJ, 74XFHRwlV6OrjEM0A2NCMF, 2gsggkzM5R49q6jpPvazou, 2jw70GZXlAI8QzWeY2bgRc, 7H55rcKCfwqkyDFH9wpKM6, 1KCSPY1glIKqW2TotWuXOR, 2p4FqHnazRucYQHyDCdBrJ, 5YGY8feqx7naU7z4HrwZM6, 6S2OmqARrzebs0tKUEyXyp"
https://open.spotify.com/artist/0PCCGZ0wGLizHt2KZ7hhA2,870867,,0PCCGZ0wGLizHt2KZ7hhA2,Artemas,80,spotify:artist:0PCCGZ0wGLizHt2KZ7hhA2,"5arKwJZEvT5uKq4o0JfqR4, 5nvWOyAkfNgVLKESq4fOj2, 25jJ6vyXwTRa0e6XCcdR6U, 6NRSfOnXw4qaypEfIV2QXn, 4MvZhE1iuzttcoyepkpfdF, 0F3maSKfGGVtfATaAyeyPG, 6KOszWgIriJLaPOySuBOTI, 7uMDnSZyUYNBPLhPMNuaM2, 7I3bkknknQkIiatWiupQgD, 3XxNRirzbjfLdDli06zMaB, 1pBLC0qVRTB5zVMuteQ9jJ, 35WVTyRnKAoaGExqgktVyb, 6USv9qhCn6zfxlBQIYJ9qs, 5y8tKLUfMvliMe8IKamR32, 4OVbrPbhvK46A1uXTU1u5F, 4jEwTCIHu0hdDbamxScpou"
https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR,9007946,"british soul, neo soul",6Q192DXotxtaysaqNPy5yR,Amy Winehouse,78,spotify:artist:6Q192DXotxtaysaqNPy5yR,"7G1GBhoKtEPnP86X2PvEYO, 7nwUJBm0HE4ZxD3f5cy5ok, 2Mu5NfyYm8n5iTomuKAEHl, 13saZpZnCDWOI9D4IJhp1f, 0iOVhN3tnSvgDbcg25JoJb, 2Kx7MNY7cI1ENniW7vT30N, 5V0MlUE1Bft0mbLlND7FJz, 47zz7sob9NUcODy0BTDvKx, 7guDJrEfX3qb6FEbdPA5qi, 0oSGxfWSnnOXhD2fKuz2Gy, 1eYhYunlNJlDoQhtYBvPsi, 22WZ7M8sxp5THdruNY3gXt, 7IfculRW2WXyzNQ8djX8WX"
